Material;Batch
172715;XY20231024
178615;XY20231103
128850;XY20231019
166831;XY20231024
166831;XY20231024
154208;XY20231029
176212;XY20250919
187264;XY20231024
146517;XY20231024
146517;XY20231024
161995;XY20250918
161995;XY20250918
181202;XY20231103
174706;XY20231019
190297;XY20231024
158948;XY20231024
135679;XY20250918
