Material;Batch
135530;XY20230914
187378;XY20230914
178017;XY20230909
119901;XY20230914
164852;XY20230914
164852;XY20230914
153287;XY20230905
176180;XY20250810
176180;XY20250810
137182;XY20250809
101184;XY20230918
159598;XY20240809
159598;XY20240809
178574;XY20230919
173092;XY20230924
179066;XY20230924
