Delivery;Delivery Priority;Deliv. date(From/to);Delivery Type;Reference Document;Ship-To Party;Name of the ship-to party;Location of the ship-to party;Postal Code;Item;Material;Actual delivery qty;Base Unit of Measure;Batch;Plant;Storage Location
5999011176;1;22.09.2023;ZLF;4900011176;50011115;DC 5441 SM1 SAMARA BRANCH;ZAVODSKOE SHOSSE BLD. 99;443022;900001;176840;21840;PC;XY20231022;5317;201
5999011176;1;22.09.2023;ZLF;4900011176;50011115;DC 5441 SM1 SAMARA BRANCH;ZAVODSKOE SHOSSE BLD. 99;443022;900002;176840;21840;PC;XY20231022;5317;201
5999011177;1;22.09.2023;ZLF;4900011177;50011115;DC 5441 SM1 SAMARA BRANCH;ZAVODSKOE SHOSSE BLD. 99;443022;900001;112731;3840;PC;XY20250921;5317;201
5999011177;1;22.09.2023;ZLF;4900011177;50011115;DC 5441 SM1 SAMARA BRANCH;ZAVODSKOE SHOSSE BLD. 99;443022;900002;112731;3840;PC;XY20250921;5317;201
