Delivery;Plant;Deliv. date(From/to);Delivery Type;Reference Document;Reference Item;Item;Material;Actual delivery qty;Base Unit of Measure;Batch
5900000149;5312;12.10.2023;ZNL;4900000149;10;90001;160599;9936;PC;XY20240409
5900000149;5312;12.10.2023;ZNL;4900000149;20;90002;106992;4096;PC;XY20231120
5900000149;5312;12.10.2023;ZNL;4900000149;30;90003;186962;4992;PC;XY20240708
5900000149;5312;12.10.2023;ZNL;4900000149;40;90004;153705;10368;PC;XY20231126
5900000149;5312;12.10.2023;ZNL;4900000149;50;90005;122165;2016;PC;XY20231116
