Delivery;Delivery Priority;Deliv. date(From/to);Delivery Type;Reference Document;Ship-To Party;Name of the ship-to party;Location of the ship-to party;Postal Code;Item;Material;Actual delivery qty;Base Unit of Measure;Batch;Plant;Storage Location
5999011379;1;25.04.2024;ZLF;4900011379;50011115;DC 5441 SM1 SAMARA BRANCH;ZAVODSKOE SHOSSE BLD. 99;443022;900001;106992;32768;PC;XY20240614;5317;201
5999011379;1;25.04.2024;ZLF;4900011379;50011115;DC 5441 SM1 SAMARA BRANCH;ZAVODSKOE SHOSSE BLD. 99;443022;900002;101184;15552;PC;XY20240614;5317;201
5999011380;1;25.04.2024;ZLF;4900011380;50011115;DC 5441 SM1 SAMARA BRANCH;ZAVODSKOE SHOSSE BLD. 99;443022;900001;106991;13824;PC;XY20240614;5317;201
5999011380;1;25.04.2024;ZLF;4900011380;50011115;DC 5441 SM1 SAMARA BRANCH;ZAVODSKOE SHOSSE BLD. 99;443022;900002;106980;15552;PC;XY20240614;5317;201
