Material;Batch
183348;XY20230913
176207;XY20250809
101184;XY20230917
101184;XY20230917
159598;XY20240808
144899;XY20230913
173092;XY20230923
189255;XY20240205
179066;XY20230923
130874;XY20230913
190146;XY20230825
190146;XY20230825
158265;XY20240205
176297;XY20250809
170624;XY20230913
187308;XY20230913
187308;XY20230913
151831;XY20240808
