Material;Batch
129820;XY20231206
189985;XY20231206
156080;XY20230917
156080;XY20230917
176216;XY20250808
176216;XY20250808
170252;XY20230912
170252;XY20230912
187304;XY20230912
187304;XY20230912
113679;XY20230824
162125;XY20230917
174799;XY20240807
174799;XY20240807
191312;XY20230917
182748;XY20230917
182748;XY20230917
135680;XY20250807
