Delivery;Plant;Deliv. date(From/to);Delivery Type;Reference Document;Reference Item;Item;Material;Actual delivery qty;Base Unit of Measure;Batch
5900000160;5312;25.04.2024;ZNL;4900000160;10;90001;100712;36288;PC;XY20240614
5900000160;5312;25.04.2024;ZNL;4900000160;20;90002;100722;36288;PC;XY20240614
5900000160;5312;25.04.2024;ZNL;4900000160;30;90003;101184;5184;PC;XY20240614
5900000160;5312;25.04.2024;ZNL;4900000160;40;90004;106980;5184;PC;XY20240614
5900000160;5312;25.04.2024;ZNL;4900000160;50;90005;106991;10368;PC;XY20240614
