Material;Batch
122310;XY20230922
153332;XY20230907
176189;XY20250808
167347;XY20230917
186369;XY20230907
160594;XY20230912
173962;XY20230912
189933;XY20230912
134646;XY20230912
191353;XY20230912
158970;XY20230912
176842;XY20230907
187936;XY20230824
151876;XY20240507
151876;XY20240507
122238;XY20230922
164970;XY20230912
153296;XY20230907
100692;XY20230907
