Delivery;Plant;Deliv. date(From/to);Delivery Type;Reference Document;Reference Item;Item;Material;Actual delivery qty;Base Unit of Measure;Batch
5900000148;5312;12.10.2023;ZNL;4900000148;10;90001;130327;3072;PC;XY20231121
5900000148;5312;12.10.2023;ZNL;4900000148;20;90002;170911;16560;PC;XY20240409
5900000148;5312;12.10.2023;ZNL;4900000148;30;90003;160599;9936;PC;XY20240409
5900000148;5312;12.10.2023;ZNL;4900000148;40;90004;176209;6468;PC;XY20251011
5900000148;5312;12.10.2023;ZNL;4900000148;50;90005;111550;27648;PC;XY20231126
5900000148;5312;12.10.2023;ZNL;4900000148;60;90006;186961;4992;PC;XY20240807
5900000148;5312;12.10.2023;ZNL;4900000148;70;90007;153706;4000;PC;XY20240110
5900000148;5312;12.10.2023;ZNL;4900000148;80;90008;176182;38016;PC;XY20251011
5900000148;5312;12.10.2023;ZNL;4900000148;90;90009;176182;25344;PC;XY20251011
