Delivery;Delivery Priority;Deliv. date(From/to);Delivery Type;Reference Document;Ship-To Party;Name of the ship-to party;Location of the ship-to party;Postal Code;Item;Material;Actual delivery qty;Base Unit of Measure;Batch;Plant;Storage Location
5999011312;1;12.10.2023;ZLF;4900011312;50010958;DC 5401 MO1 KLIMOVSK;KOMMUNALNAYA STR. BLD. 28А;142180;900001;176182;38016;PC;XY20251011;5441;201
5999011312;1;12.10.2023;ZLF;4900011312;50010958;DC 5401 MO1 KLIMOVSK;KOMMUNALNAYA STR. BLD. 28А;142180;900002;160599;9936;PC;XY20240409;5441;201
5999011313;1;12.10.2023;ZLF;4900011313;50010958;DC 5401 MO1 KLIMOVSK;KOMMUNALNAYA STR. BLD. 28А;142180;900001;170911;16560;PC;XY20240409;5441;201
5999011313;1;12.10.2023;ZLF;4900011313;50010958;DC 5401 MO1 KLIMOVSK;KOMMUNALNAYA STR. BLD. 28А;142180;900002;111550;27648;PC;XY20231126;5441;201
