Number;Sites;City
1;http://10.29.19.230/cwms_mow_test/;Moskow
2;http://10.29.19.230/cwms_kuf_test/;Samara
3;http://10.29.19.230/cwms_krdc_test/;Krasnodar
4;http://10.29.19.230/cwms_vgdc_test/;Volgograd
5;http://10.29.19.230/cwms_irdc_test/;Irkutsk
6;http://10.29.19.230/cwms_lpdc_test/;Lipetsk DC
7;http://10.29.19.230/cwms_lppt_test/;Lipetsk Plant
8;http://10.29.19.230/cwms_kydc_test/;Krasnoyarsk DC
9;http://10.29.19.230/cwms_kypt_test/;Krasnoyarsk Plant
